instance,formulation,obj_int,obj_relax,gap
instance_10_circle_1,MTZ,298.57,248.578,0.16744
instance_10_circle_1,DFJ,298.57,298.57,0.0
instance_10_euclidean_1,MTZ,207.85,200.21,0.03676
instance_10_euclidean_1,DFJ,207.85,207.85,0.0
instance_10_euclidean_2,MTZ,323.92,312.938,0.0339
instance_10_euclidean_2,DFJ,323.92,323.92,0.0
instance_10_line_1,MTZ,156.14,81.492,0.47808
instance_10_line_1,DFJ,156.14,156.14,0.0
instance_10_random_asym_1,MTZ,191.53,191.53,0.0
instance_10_random_asym_1,DFJ,191.53,191.53,0.0
instance_10_random_sym_1,MTZ,280.99,262.289,0.06655
instance_10_random_sym_1,DFJ,280.99,280.99,0.0
instance_12_circle_1,MTZ,265.22,176.0817,0.33609
instance_12_circle_1,DFJ,265.22,265.22,0.0
instance_12_line_1,MTZ,174.8,111.26,0.3635
instance_12_line_1,DFJ,174.8,174.8,-0.0
instance_14_circle_1,MTZ,304.48,221.9386,0.27109
instance_14_circle_1,DFJ,304.48,304.48,0.0
instance_14_line_1,MTZ,188.02,71.5857,0.61927
instance_14_line_1,DFJ,188.02,188.02,-0.0
instance_15_euclidean_1,MTZ,306.7,228.7353,0.2542
instance_15_euclidean_1,DFJ,306.7,306.7,0.0
instance_15_euclidean_2,MTZ,345.91,243.4553,0.29619
instance_15_euclidean_2,DFJ,345.91,345.91,0.0
instance_15_random_asym_1,MTZ,342.94,342.6433,0.00087
instance_15_random_asym_1,DFJ,342.94,342.94,0.0
instance_15_random_sym_1,MTZ,377.5,332.2787,0.11979
instance_15_random_sym_1,DFJ,377.5,377.5,0.0
instance_20_euclidean_1,MTZ,370.13,315.752,0.14692
instance_20_euclidean_2,MTZ,396.75,336.959,0.1507
instance_20_random_asym_1,MTZ,324.08,319.4375,0.01433
instance_20_random_sym_1,MTZ,371.1,356.432,0.03953
instance_25_euclidean_1,MTZ,410.26,346.9772,0.15425
instance_25_euclidean_2,MTZ,418.56,364.4104,0.12937
