instance,formulation,obj_int,time_int,obj_relax,time_relax,gap,vars,constr
instance_10_circle_1,MTZ,298.57,0.5556,248.578,1.3345,0.1674,99,92
instance_10_circle_1,DFJ_enum,298.57,0.1226,298.57,0.0836,0.0,90,1032
instance_10_circle_1,DFJ_iter,298.57,0.0974,None,None,None,90,28
instance_10_euclidean_1,MTZ,207.85,0.1337,200.21,0.029,0.0368,99,92
instance_10_euclidean_1,DFJ_enum,207.85,0.1141,207.85,0.0827,0.0,90,1032
instance_10_euclidean_1,DFJ_iter,207.85,0.0682,None,None,None,90,25
instance_10_euclidean_2,MTZ,323.92,0.2504,312.938,0.0307,0.0339,99,92
instance_10_euclidean_2,DFJ_enum,323.92,0.1216,323.92,0.0824,0.0,90,1032
instance_10_euclidean_2,DFJ_iter,323.92,0.1119,None,None,None,90,28
instance_10_line_1,MTZ,156.14,1.7736,81.492,0.0302,0.4781,99,92
instance_10_line_1,DFJ_enum,156.14,0.1212,156.14,0.095,0.0,90,1032
instance_10_line_1,DFJ_iter,156.14,0.1845,None,None,None,90,33
instance_10_random_asym_1,MTZ,191.53,0.0587,191.53,0.0316,0.0,99,92
instance_10_random_asym_1,DFJ_enum,191.53,0.1184,191.53,0.0861,0.0,90,1032
instance_10_random_asym_1,DFJ_iter,191.53,0.0353,None,None,None,90,20
instance_10_random_sym_1,MTZ,280.99,0.3539,262.289,0.0311,0.0666,99,92
instance_10_random_sym_1,DFJ_enum,280.99,0.1398,280.99,0.0875,0.0,90,1032
instance_10_random_sym_1,DFJ_iter,280.99,0.1024,None,None,None,90,28
instance_12_circle_1,MTZ,265.22,1.5603,176.0817,0.0338,0.3361,143,134
instance_12_circle_1,DFJ_enum,265.22,0.5683,265.22,0.3346,0.0,132,4106
instance_12_circle_1,DFJ_iter,265.22,0.1908,None,None,None,132,39
instance_12_line_1,MTZ,174.8,6.8242,111.26,0.0321,0.3635,143,134
instance_12_line_1,DFJ_enum,174.8,0.825,174.8,0.3392,-0.0,132,4106
instance_12_line_1,DFJ_iter,174.8,0.3591,None,None,None,132,43
instance_14_circle_1,MTZ,304.48,1.0607,221.9386,0.0335,0.2711,195,184
instance_14_circle_1,DFJ_enum,304.48,4.0196,304.48,1.6837,0.0,182,16396
instance_14_circle_1,DFJ_iter,304.48,0.2037,None,None,None,182,34
instance_14_line_1,MTZ,188.02,22.0539,71.5857,0.055,0.6193,195,184
instance_14_line_1,DFJ_enum,188.02,3.9153,188.02,1.6664,-0.0,182,16396
instance_14_line_1,DFJ_iter,188.02,0.3286,None,None,None,182,53
instance_15_euclidean_1,MTZ,306.7,5.842,228.7353,0.0335,0.2542,224,212
instance_15_euclidean_1,DFJ_enum,306.7,6.9371,306.7,4.0881,0.0,210,32781
instance_15_euclidean_1,DFJ_iter,306.7,0.2413,None,None,None,210,50
instance_15_euclidean_2,MTZ,345.91,10.8412,243.4553,0.034,0.2962,224,212
instance_15_euclidean_2,DFJ_enum,345.91,6.3438,345.91,3.9827,0.0,210,32781
instance_15_euclidean_2,DFJ_iter,345.91,0.1598,None,None,None,210,45
instance_15_random_asym_1,MTZ,342.94,0.3026,342.6433,0.0359,0.0009,224,212
instance_15_random_asym_1,DFJ_enum,342.94,6.5611,342.94,3.7673,0.0,210,32781
instance_15_random_asym_1,DFJ_iter,342.94,0.0886,None,None,None,210,32
instance_15_random_sym_1,MTZ,377.5,0.8732,332.2787,0.0374,0.1198,224,212
instance_15_random_sym_1,DFJ_enum,377.5,6.4241,377.5,3.8838,0.0,210,32781
instance_15_random_sym_1,DFJ_iter,377.5,0.0836,None,None,None,210,37
instance_20_euclidean_1,MTZ,370.13,0.8449,315.752,0.0379,0.1469,399,382
instance_20_euclidean_1,DFJ_iter,370.13,0.1146,None,None,None,380,50
instance_20_euclidean_2,MTZ,396.75,6.5465,336.959,0.0398,0.1507,399,382
instance_20_euclidean_2,DFJ_iter,396.75,0.1699,None,None,None,380,56
instance_20_random_asym_1,MTZ,324.08,0.5183,319.4375,0.0382,0.0143,399,382
instance_20_random_asym_1,DFJ_iter,324.08,0.0902,None,None,None,380,43
instance_20_random_sym_1,MTZ,371.1,3.2166,356.432,0.0378,0.0395,399,382
instance_20_random_sym_1,DFJ_iter,371.1,0.3824,None,None,None,380,59
instance_25_euclidean_1,MTZ,410.26,4.2791,346.9772,0.0437,0.1543,624,602
instance_25_euclidean_1,DFJ_iter,410.26,0.4509,None,None,None,600,72
instance_25_euclidean_2,MTZ,418.56,7.6843,364.4104,0.0435,0.1294,624,602
instance_25_euclidean_2,DFJ_iter,418.56,0.3361,None,None,None,600,74
